movie_id,actor_id,actor_name,character,cast_order
20481,4138,Craig Sheffer,Aaron Boone,0
20481,140234,Anne Bobby,Lori Desinger,1
20481,224,David Cronenberg,Dr. Philip K. Decker,2
20481,69791,Charles Haid,Captain Eigerman,3
20481,31925,Hugh Quarshie,Detective Joyce,4
20481,79648,Hugh Ross,Narcisse,5
20481,73040,Doug Bradley,Dirk Lylesberg,6
20481,327357,Catherine Chevalier,Rachel,7
20481,1127183,Malcolm Smith,Ashberry,8
20481,65146,Bob Sessions,Pettine,9
20481,56710,Oliver Parker,Peloquin,10
20481,49346,Debora Weston,Sheryl Ann,11
20481,56559,Nicholas Vince,Kinski,12
20481,56560,Simon Bamford,Ohnaka,13
20481,1459213,Christine McCorkindale,Shuna Sassi,14
20481,103071,John Agar,Gas Station Attendant / Victim,15
20481,1883226,Jack Bennett,(voice),16
20481,2689256,Alexis De La Rocha,(voice),17
20481,2957236,Kim Robertson,Babette,18
20481,2957238,Nina Robertson,Babette,19
20481,1218934,Tony Bluto,Leroy Gomm,20
20481,2957245,Vincent Keene,Devil Lude,21
20481,2957247,Bernard Henry,Baphomet,22
20481,2957249,Richard Van Spall,Drummer,23
20481,168783,David Young,Otis and Clay,24
20481,1261112,Valda Aviks,Mellissa Rickman,25
20481,33403,Mac McDonald,Lou Rickman,26
20481,2957256,Richard Bowman,Rickman Boy,27
20481,148632,McNally Sagal,Motel Receptionist,28
20481,10210,Daniel Kash,Labowitz,29
20481,25530,Bradley Lavelle,Cormack,30
20481,1378386,Stephen Hoye,Gibbs,31
20481,109586,Tom Hunsinger,Tommy,32
20481,2147290,George Roth,Kane,33
20481,93477,Peter Marinker,Pathologist,34
20481,2588744,Lindsay Holiday,Morgue Assistant,35
20481,56557,Kenneth Nelson,Emergency Doctor,36
20481,2880287,Carolyn Jones,Emergency Nurse,37
20481,730454,Ted Maynard,Bartender,38
20481,2957272,Mitch Webb,Jail Cell Doctor,39
20481,113235,Eric Loren,Ambush Cop,40
20481,55949,Peter Atkins,Man in Club,41
421892,12073,Mike Myers,Shrek (voice),0
421892,776,Eddie Murphy,Donkey (voice),1
421892,6941,Cameron Diaz,Princess Fiona (voice),2
421892,3131,Antonio Banderas,Puss in Boots (voice),3
421892,505710,Zendaya,Felicia (voice),4
421892,3725495,Marcello Hernández,Fergus (voice),5
421892,61263,Skyler Gisondo,Farkle (voice),6
421892,12098,Chris Miller,Magic Mirror (voice),7
421892,12095,Cody Cameron,Pinocchio (voice),8
55301,11662,Jason Lee,Dave,0
55301,212,David Cross,Ian,1
55301,213001,Jenny Slate,Zoe,2
55301,15033,Justin Long,Alvin (voice),3
55301,5661,Matthew Gray Gubler,Simon (voice),4
55301,49915,Jesse McCartney,Theodore (voice),5
55301,56322,Amy Poehler,Eleanor (voice),6
55301,1772,Anna Faris,Jeanette (voice),7
55301,18979,Christina Applegate,Brittany (voice),8
55301,21088,Alan Tudyk,Simone (voice),9
55301,1368537,Michael P. Northey,Hawaiian Shirt Guy,10
55301,1498618,Sophia Aguiar,Club Woman #1,11
55301,211790,Lauren Gottlieb,Club Woman #2,12
55301,2827696,Tera Perez,Club Woman #3,13
55301,170635,Andy Buckley,Captain Correlli,14
55301,91403,Chad Krowchuk,Waiter,15
55301,113861,Luisa d'Oliveira,Tessa,16
55301,558925,Tucker Albrizzi,Tucker / Kite Kid,17
55301,997197,Nelson Wong,Casino Guy,18
55301,2827697,Michael Bagdasarian,Excursion Clerk,19
55301,2827698,Amber-Rochelle DeMarco,Damsel #1,20
55301,2827699,Marcela Caceres,Damsel #2,21
55301,1645416,Natalie Sutcliffe,Damsel #3,22
55301,1368837,Ian Harmon,Monster,23
55301,169200,Phyllis Smith,Flight Attendant,24
