movie_id,company_id,company_name
20481,3557,Seraphim Films
20481,10210,Morgan Creek Entertainment
421892,521,DreamWorks Animation
55301,711,Fox 2000 Pictures
55301,25,20th Century Fox
55301,508,Regency Enterprises
55301,444,Dune Entertainment
55301,10930,Bagdasarian Productions
663558,123270,bilibili
663558,69484,Alibaba Pictures Group
663558,67089,Light Chaser Animation Studios
149509,551,Mandalay Pictures
149509,19177,Red Granite Pictures
16390,2785,Warner Bros. Animation
16390,1353,Hanna-Barbera Cartoons
116745,9118,Samuel Goldwyn Films
116745,2932,Red Hour
116745,12,New Line Cinema
116745,10893,Big Screen Productions
116745,37336,Down Productions
116745,290,Ingenious Media
116745,25,20th Century Fox
116745,22213,TSG Entertainment
1363974,30294,8bit
1363974,173132,Bandai Namco Filmworks
1363974,74440,BN Pictures
137227,5141,Shin-Ei Animation
137227,12655,Shogakukan-Shueisha Productions
137227,4720,ADK
137227,9300,TV Asahi
137227,9149,Shogakukan
137227,15329,Fujiko Productions
8204,4,Paramount Pictures
8204,862,The Kennedy/Marshall Company
8204,2348,Nickelodeon Movies
428045,318,CTB Film Company
428045,74107,Russian Film Group
428045,130900,Buffalo 8 Productions
428045,136871,China International Picture
428045,90658,Fetisoff Illusion
428045,136872,GFA Entertainment
428045,136873,Gap Financing
428045,136874,Lime Studios
428045,136875,Sparkle Roll Media
428045,2270,China Film Group Corporation
428045,76049,Cinema Foundation of Russia
2062,3,Pixar
1671175,295313,Fun Revolution Entertainment Pvt. Ltd.
22,2,Walt Disney Pictures
22,130,Jerry Bruckheimer Films
122906,33,Universal Pictures
122906,7295,Relativity Media
122906,10163,Working Title Films
841755,2785,Warner Bros. Animation
311324,33,Universal Pictures
311324,507,Atlas Entertainment
311324,48873,Le Vision Pictures
311324,14714,China Film Group Corporation
311324,923,Legendary Pictures
311324,86433,Legendary East
606234,10583,Independent
606234,119153,Hero Squared
606234,5056,Head Gear Films
606234,25954,Metrol Technology
606234,136586,Untapped
606234,4186,Quickfire Films
606234,9987,Lipsync Productions
606234,12142,XYZ Films
161822,9300,TV Asahi
161822,4720,ADK
161822,5261,Shogakukan Production
161822,5141,Shin-Ei Animation
456740,48738,Campbell Grobman Films
456740,552,Dark Horse Entertainment
456740,1020,Millennium Media
456740,120256,Boyana Film Studios
456740,840,Lawrence Gordon Productions
456740,214913,Lloyd Levin Productions
456740,342,Davis Films
456740,491,Summit Entertainment
122917,12,New Line Cinema
122917,21,Metro-Goldwyn-Mayer
122917,11,WingNut Films
1490980,138285,Okura Pictures
1490980,255472,VOID FILMS
899112,121470,87North Productions
899112,33,Universal Pictures
899112,4234,Original Pictures
10280,10355,Spelling Films
10280,266480,Richard P. Rubinstein Productions
761898,13113,A-1 Pictures
761898,95809,EGG FIRM
761898,162614,Straight Edge
761898,2883,Aniplex
761898,2073,KADOKAWA
761898,12502,Bandai Namco Entertainment
2044,829,Vertigo Entertainment
59436,12010,Mediapro
59436,8531,Versátil Cinema
59436,24785,Pontchartrain Productions
59436,1824,Gravier Productions
12335,3166,Walt Disney Productions
58,2,Walt Disney Pictures
58,130,Jerry Bruckheimer Films
58,19936,Second Mate Productions
18491,3041,GAINAX
18491,3466,movic
18491,21504,Star Child Recording
18491,3034,TV Tokyo
18491,529,Production I.G
18491,1194,KADOKAWA Shoten
18491,5822,Toei Company
18491,113750,SEGA
22586,4108,Rich Animation Studios
297021,2073,KADOKAWA
297021,27718,DUB
43074,84042,Ghost Corps
43074,5,Columbia Pictures
43074,79,Village Roadshow Pictures
43074,34034,LStar Capital
43074,61791,Feigco Entertainment
43074,84041,Pascal Pictures
43074,2364,The Montecito Picture Company
417859,521,DreamWorks Animation
2114,20033,Chris Lee Productions
2114,96629,Square Pictures
2114,4164,Square USA
2114,5,Columbia Pictures
315465,6755,Nippon Television Network Corporation
315465,15662,Studio Chizu
315465,882,TOHO
315465,11725,VAP
315465,1778,dentsu
315465,11727,Yomiuri Telecasting Corporation
315465,14789,D.N. Dream Partners
315465,78956,Sapporo Television Broadcasting Company
315465,11723,Miyagi Television Broadcasting
315465,11724,Shizuoka Daiichi Television
315465,11722,Hiroshima Telecasting
315465,11720,Fukuoka Broadcasting System
315465,2073,KADOKAWA
315465,33677,Chukyo TV Broadcasting Company
75,174,Warner Bros. Pictures
75,8601,Tim Burton Productions
321612,2,Walt Disney Pictures
321612,10227,Mandeville Films
14411,521,DreamWorks Animation
14411,7,DreamWorks Pictures
426063,10146,Focus Features
426063,77863,Studio 8
426063,41641,Maiden Voyage Pictures
426063,239430,Birch Hill Road Entertainment
159824,5,Columbia Pictures
159824,2251,Sony Pictures Animation
159824,2531,MRC
81,29,Topcraft
81,1779,Tokuma Shoten
81,13411,Hakuhodo
430162,5644,Magic Light Pictures
430162,23953,Triggerfish
10323,8846,Peerford Ltd.
10323,21,Metro-Goldwyn-Mayer
10323,138398,Charles H. Schneer Productions
10323,1582,Titan Productions
245842,171888,Firstep
245842,3235,Brookwell-McNamara Entertainment
245842,94431,Kylin Pictures
245842,8186,Bliss Media
245842,69756,Lightstream Entertainment
245842,290,Ingenious Media
245842,44632,Gravitas Ventures
245842,31540,Fame Universal Entertainment
245842,191183,Interface Productions
245842,1632,Lionsgate
460885,34519,SpectreVision
460885,12142,XYZ Films
460885,19037,uMedia
460885,108869,Legion M
460885,22309,Piccadilly Pictures
460885,12352,Wallimage
2134,40552,Galaxy Films Inc.
2134,4864,George Pal Productions
2134,21,Metro-Goldwyn-Mayer
1646671,62703,Anima-Pol
2137,72349,B.O.B & Partners Co. Ltd
2137,971,Centro Digital Pictures
2137,2521,Orange Sky Golden Harvest
10330,93528,Casual Friday Productions
10330,3538,Gunn Films
10330,2,Walt Disney Pictures
10336,12,New Line Cinema
10336,3907,Pull Down Your Pants Pictures
10336,23364,Todd McFarlane Entertainment
10336,4286,Juno Pix
