movie_id,person_id,name,job,department
20481,31211,Clive Barker,Director,Directing
20481,31211,Clive Barker,Screenplay,Writing
20481,31211,Clive Barker,Novel,Writing
20481,210110,Chris Cunningham,Modeling,Visual Effects
20481,6202,Gabriella Martinelli,Producer,Production
20481,4700,James G. Robinson,Executive Producer,Production
20481,531,Danny Elfman,Original Music Composer,Sound
20481,56548,Robin Vidgeon,Director of Photography,Camera
20481,898,Mark Goldblatt,Editor,Editing
20481,14931,Richard Marden,Editor,Editing
20481,56071,Steve Hardie,Production Design,Art
20481,61361,Ricky Eyres,Art Direction,Art
20481,959992,Ann Hollowood,Costume Design,Costume & Make-Up
20481,30081,Neill Gorton,Makeup Effects,Crew
20481,2644740,Doug Robinson,Stunts,Crew
20481,1902347,Chris Webb,Stunts,Crew
20481,2606601,Steven Painter,Makeup Effects,Crew
20481,4568530,Robert Fernandez,Scoring Mixer,Sound
20481,2098339,Kathy Sinclair,Stand In,Crew
20481,65614,David Barron,Associate Producer,Production
20481,1525598,Mark Alan Miller,Producer,Production
20481,2689176,Michael G. Plumides Jr.,Executive Producer,Production
20481,1203317,David Robinson,Executive Producer,Production
20481,18311,Joe Roth,Co-Producer,Production
20481,2535201,Gary Bunn,Prosthetics,Costume & Make-Up
20481,1427843,Mark Coulier,Special Effects Makeup Artist,Costume & Make-Up
20481,1365396,Robbie Drake,Special Effects Technician,Crew
20481,1437962,Chris Fitzgerald,Special Effects Makeup Artist,Costume & Make-Up
20481,29217,Tony Gardner,Special Effects Makeup Artist,Costume & Make-Up
20481,23456,Shaune Harrison,Special Effects Makeup Artist,Costume & Make-Up
20481,1859100,Heather Jones,Key Hair Stylist,Costume & Make-Up
20481,2689179,Mark Jones,Special Effects Makeup Artist,Costume & Make-Up
20481,1576086,Paul Jones,Makeup Designer,Costume & Make-Up
20481,2689181,Mark William Robinson,Assistant Makeup Artist,Costume & Make-Up
20481,2689182,Terence 'Doc' Popolo Rubbio,Special Effects Makeup Artist,Costume & Make-Up
20481,1555670,Aileen Seaton,Key Makeup Artist,Costume & Make-Up
20481,65614,David Barron,Production Supervisor,Production
20481,52922,Joe Thornton,Production Manager,Production
20481,15024,Andy Armstrong,Action Director,Directing
20481,1764214,Peter Freeman,Second Assistant Director,Directing
20481,77295,Jesse V. Johnson,Third Assistant Director,Directing
20481,89320,Tim Lewis,Second Assistant Director,Directing
20481,1745768,Kieron Phipps,First Assistant Director,Directing
20481,1322142,Tom Brown,Draughtsman,Art
20481,1322142,Tom Brown,Assistant Art Director,Art
20481,1572550,Ralph McQuarrie,Concept Artist,Art
20481,2689185,Peter Palmer,Set Dresser,Art
20481,117226,Graeme Purdy,Standby Property Master,Art
20481,2010295,Jamie White,Carpenter,Crew
20481,2689186,Benjamin Stuart Thompson,Assistant Art Director,Art
20481,1564250,James Ashwill,Foley Mixer,Sound
20481,1877822,Destiny Borden,Sound Editor,Sound
20481,1401562,Gary C. Bourgeois,Sound Re-Recording Mixer,Sound
20481,2681130,Justin Cruse,Sound Mixer,Sound
20481,1546873,Linda Folk,Foley Editor,Sound
20481,1558256,Rick Hart,Sound Re-Recording Mixer,Sound
20481,1395713,John Midgley,Sound Mixer,Sound
20481,117468,Bruce Nyznik,Sound Designer,Sound
20481,117468,Bruce Nyznik,Supervising Sound Editor,Sound
20481,1415966,Solange S. Schwalbe,Foley Supervisor,Sound
20481,1836628,Tommy Staples,Boom Operator,Sound
20481,230133,George Tarrant,Sound Mixer,Sound
20481,1588226,Les Wiggins,Sound Editor,Sound
20481,1390524,Jay Wilkinson,Sound Effects Editor,Sound
20481,1630528,Cynthia Haagens,ADR Editor,Sound
20481,1614193,Oscar Mitt,Sound,Sound
20481,1602729,William Parnell,Assistant Sound Editor,Sound
20481,1806565,Manuel Beccaro,Special Effects Makeup Artist,Costume & Make-Up
20481,1859142,Ian Brown,Special Effects Makeup Artist,Costume & Make-Up
20481,2689226,Neville Buchanan,Special Effects,Crew
20481,2153548,Paul Clancy,Special Effects Technician,Crew
20481,1081073,Chris Corbould,Special Effects Supervisor,Visual Effects
20481,2689230,Darrell Guyon,Special Effects Technician,Crew
20481,29447,Bob Keen,Special Effects,Crew
20481,2123090,Kate Murray,Makeup Effects,Crew
20481,1783304,Geoffrey Portass,Special Effects,Crew
20481,2689232,Junior Tomlin,Special Effects Technician,Crew
20481,1859269,Dave Chagouri,Special Effects,Crew
20481,2151811,Marcus Richardson,Special Effects Assistant,Crew
20481,2689233,Terry Adlam,Matte Painter,Visual Effects
20481,185040,Bob Bell,Matte Painter,Visual Effects
20481,999568,Cliff Culley,Matte Painter,Visual Effects
20481,999567,Neil Culley,Camera Operator,Camera
20481,85919,Peter Kuran,Animation,Visual Effects
20481,2093384,David Litchfield,Camera Operator,Camera
20481,1412742,Julian Parry,Modelling Supervisor,Visual Effects
20481,2689236,Rory Fellowes,Animation,Visual Effects
20481,2560186,Karl Watkins,Camera Operator,Camera
20481,199077,Andy Bradford,Stunts,Crew
20481,2689238,Perry Davey,Stunts,Crew
20481,1415957,Jim Dowdall,Stunts,Crew
20481,2067045,Tracey Eddon,Stunts,Crew
20481,1271071,Sadie Eden,Stunts,Crew
20481,1230588,Max Faulkner,Stunts,Crew
20481,2067038,Richard Hammatt,Stunts,Crew
20481,1271079,Frank Henson,Stunts,Crew
20481,1608123,Billy Horrigan,Stunts,Crew
20481,44006,Paul Jennings,Stunts,Crew
20481,2689239,Mark McBride,Stunts,Crew
20481,1419427,Sean McCabe,Stunts,Crew
20481,1747343,Bronco McLoughlin,Stunts,Crew
20481,1469954,Wayne Michaels,Stunts,Crew
20481,1229882,Valentino Musetti,Stunts,Crew
20481,10976,Greg Powell,Stunts,Crew
20481,2143263,Nick Powell,Stunts,Crew
20481,1229106,Terry Richards,Stunts,Crew
20481,1600363,Colin Skeaping,Stunts,Crew
20481,24278,Bill Weston,Stunts,Crew
20481,2660356,Steve Whyment,Stunts,Crew
20481,15024,Andy Armstrong,Stunt Coordinator,Crew
20481,1469954,Wayne Michaels,Stunt Coordinator,Crew
20481,2689242,Keith Blake,Focus Puller,Camera
20481,1591577,Bob Bridges,Second Assistant Camera,Camera
