id,title,original_language,overview,runtime,budget,revenue,vote_average,vote_count,release_date
20481,Nightbreed,en,"A troubled young man is drawn to a mythical place called Midian where a variety of friendly monsters are hiding from humanity. Meanwhile, a sadistic serial killer is looking for a patsy.",121,11000000,8862354,6.4,520,1990-02-16
421892,Shrek 5,en,The fifth film in the Shrek franchise. Plot TBA.,0,0,0,0.0,0,2027-06-30
55301,Alvin and the Chipmunks: Chipwrecked,en,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",87,75000000,342695435,5.7,2339,2011-12-14
663558,New Gods: Nezha Reborn,zh,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",117,0,70000000,8.058,509,2021-02-06
149509,Horns,en,"In the aftermath of his girlfriend's mysterious death, a young man awakens to strange horns sprouting from his temples.",120,0,3900000,6.296,2419,2013-09-06
16390,Scooby-Doo! and the Samurai Sword,en,"The Mystery Inc. gang takes a trip to Japan and finds themselves circling Asia and the Pacific in a treasure hunt, racing against the vengeful Black Samurai and his Ninja warriors to find the legendary Sword of Fate, an ancientblade fabled to possess extraordinary supernaturalpowers.",74,0,0,7.7,275,2009-04-07
116745,The Secret Life of Walter Mitty,en,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,114,90000000,188133322,7.218,8187,2013-12-18
1363974,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,ja,"After concluding the opening ceremony of the Demon Kingdom Federation Tempest, Rimuru and his companions are invited by the Celestial Emperor Hermesia of the great elven nation – the Magi Dynasty Salion – to visit her private resort island. As the group enjoys their brief vacation, a mysterious woman named Yura appears. A new incident unfolds against the backdrop of the boundless azure sea.",105,0,0,0.0,0,2026-02-27
137227,Doraemon: Nobita and the New Steel Troops: Winged Angels,ja,Nobita and Doraemon find a giant robot in pieces which they later assemble. It turns out to be a destructive weapon and the gang must save Earth from an imminent invasion.,108,0,0,7.349,83,2011-03-05
8204,The Spiderwick Chronicles,en,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",95,90000000,164200000,6.685,2819,2008-02-14
428045,Iron Mask,ru,"Commissioned to map the Far East territories of the Russian Empire, cartographer Jonathan Green sets off on a long journey of unbelievable adventures—making breath-taking discoveries and meeting mysterious creatures, Chinese princesses, deadly masters of oriental martial arts, and even the King of Dragons.",121,49000000,8685794,6.1,539,2019-08-16
2062,Ratatouille,en,"Remy, a rat, possesses a palate far more refined than that of his fellow comrades. He dreams of becoming a chef, one who creates rather than scavenges. When fate deposits him in the sewers beneath one of Paris’s most famous restaurants, he finds himself ideally placed to fulfill his dream. Forming an unusual alliance with a hapless young kitchen worker, Remy begins a daring culinary double life.  As Remy pursues his vision, he must navigate the suspicions of the calculating Head Chef Skinner, the disapproval of Remy’s own colony, and the foreboding presence of renowned food critic Anton Ego, who strikes fear in the hearts of chefs all throughout France.",111,150000000,623726000,7.838,18363,2007-06-28
1671175,Life Dyamage,ne,"In a world where gender roles are suddenly reversed due to a divine mistake, three individuals navigate relationships, identity, and societal expectations.",0,0,0,0.0,0,2026-05-15
22,Pirates of the Caribbean: The Curse of the Black Pearl,en,"When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",143,140000000,655011224,7.82,22090,2003-07-09
122906,About Time,en,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",123,12000000,87100449,7.907,9190,2013-09-04
841755,Mortal Kombat Legends: Battle of the Realms,en,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",80,0,0,7.585,482,2021-08-30
311324,The Great Wall,en,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,103,150000000,331957105,6.026,5503,2016-12-16
606234,Archive,en,"2038: George Almore is working on a true human-equivalent AI, and his latest prototype is almost ready. This sensitive phase is also the riskiest as he has a goal that must be hidden at all costs—being reunited with his dead wife.",109,0,243279,6.329,785,2020-08-13
161822,Doraemon: Nobita and the Tin Labyrinth,ja,Nobita and his friends find a portal to a mysterious resort filled with metal buildings. They soon discover that the person who opened the portal for them has an ulterior motive.,100,4000000,25700000,7.1,40,1993-03-06
456740,Hellboy,en,"Hellboy comes to England, where he must defeat Nimue, Merlin's consort and the Blood Queen. But their battle will bring about the end of the world, a fate he desperately tries to turn away.",121,50000000,55065289,5.576,3680,2019-04-10
122917,The Hobbit: The Battle of the Five Armies,en,"Following Smaug's attack on Laketown, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",144,250000000,956019788,7.331,15257,2014-12-10
1490980,Magic Love,ja,"Michiru is a mysterious sex worker who visits a suburban motel once every year.  In addition to her beautiful looks, she possesses a strange power: clients who have sex with her begin to perceive her as the woman they long for most.  [Exists in two different versions (R15 and R18) with two different titles.]",70,0,0,5.0,1,2024-04-19
899112,Violent Night,en,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",111,20000000,75734910,7.227,2521,2022-11-30
10280,Thinner,en,"An obese lawyer finds himself growing ""Thinner"" when an old Romani man places a hex on him. Now the lawyer must call upon his friends in organized crime to help him persuade the old man to lift the curse. Time is running out for the desperate lawyer as he draws closer to his own death, and grows ever thinner.",92,8000000,15315484,5.882,675,1996-10-25
761898,Sword Art Online the Movie - Progressive - Aria of a Starless Night,ja,"Asuna Yuuki had never played online games until accidentally putting on the NerveGear for Sword Art Online, the world’s first VRMMORPG. She soon finds herself and other players trapped inside a game, where if a player dies in the game, they die in the real world. As she continues to live on in this world where death is always a step away, a solitary swordsman named Kirito appears before her.",97,0,14037060,7.865,327,2021-10-30
2044,The Lake House,en,"When architect Alex Wyler moves into an unusual glass house on stilts over a lake, he discovers a note from the previous tenant in the mailbox--but no one's lived in the house for years. He replies and soon discovers that he's corresponding with a doctor named Kate Forster. Their correspondence, only through the 'magical' mailbox, turns romantic and their paths cross in unexpected ways, but when they try to truly connect, danger looms. They must try to unravel the mystery behind their extraordinary romance before it's too late.",99,40000000,114830111,7.029,2953,2006-06-16
59436,Midnight in Paris,en,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",94,17000000,151119219,7.5,7702,2011-05-11
