movie_id,genre_id
1226863,10751
1226863,35
1226863,12
1226863,14
1226863,16
83533,878
83533,12
83533,14
980431,16
980431,28
980431,12
980431,14
502356,10751
502356,35
502356,12
502356,14
502356,16
1311031,16
1311031,28
1311031,14
1159831,878
1159831,27
1159831,14
1539104,16
1539104,28
1539104,14
1246049,27
1246049,14
1246049,10749
50619,12
50619,14
50619,10749
803796,14
803796,10402
803796,35
803796,16
1117857,16
1117857,10751
1117857,35
1117857,12
1117857,14
1011985,16
1011985,10751
1011985,28
1011985,35
1011985,12
1011985,14
120,12
120,14
120,28
402431,18
402431,10749
402431,14
14836,16
14836,10751
14836,14
1241982,16
1241982,12
1241982,10751
1241982,35
1241982,14
129,16
129,10751
129,14
497,14
497,18
497,80
1218925,16
1218925,28
1218925,10749
1218925,14
1062722,18
1062722,14
1062722,27
950387,10751
950387,14
950387,35
950387,12
991494,16
991494,10751
991494,35
991494,12
991494,14
808,16
808,35
808,14
808,12
808,10751
214756,35
214756,14
4935,14
4935,16
4935,12
122,12
122,14
122,28
508947,16
508947,10751
508947,35
508947,14
1087192,14
1087192,10751
1087192,28
1087192,12
1108427,10751
1108427,14
1108427,35
1108427,12
671,12
671,14
564,12
564,28
564,14
122917,28
122917,12
122917,14
121,12
121,14
121,28
980477,16
980477,14
980477,12
109445,16
109445,10751
109445,12
109445,14
8966,14
8966,18
8966,10749
931285,28
931285,14
931285,12
12445,12
12445,14
674,12
674,14
58,12
58,14
58,28
297802,28
297802,12
297802,14
1497970,16
1497970,35
1497970,10751
1497970,14
1497970,12
315162,16
315162,12
315162,14
315162,35
315162,10751
22,12
22,14
22,28
675,12
675,14
411,12
411,10751
411,14
12444,12
12444,14
823219,16
823219,12
823219,14
823219,10751
453395,14
453395,28
453395,12
2062,16
2062,35
2062,10751
2062,14
967941,14
967941,12
967941,10749
1020969,10751
1020969,12
1020969,14
672,12
672,14
49051,12
49051,14
49051,28
8392,14
8392,16
8392,10751
62177,16
62177,10751
62177,14
62177,12
673,12
673,14
447273,10751
447273,14
209112,28
209112,12
209112,14
1734,12
1734,28
1734,14
150689,10749
150689,14
150689,10751
150689,18
1357633,28
1357633,12
1357633,14
1357633,16
297762,28
297762,12
297762,14
1043197,14
1043197,28
1043197,27
1469458,14
1469458,53
1469458,18
285,12
285,14
285,28
1153576,28
1153576,35
1153576,14
767,12
767,14
16859,16
16859,10751
16859,14
128,12
128,14
128,16
810693,16
810693,28
810693,14
1575337,16
1575337,14
1575337,10402
1575337,878
1865,12
1865,28
1865,14
508442,16
508442,10751
508442,18
508442,10402
508442,14
976573,16
976573,10751
976573,10749
976573,14
976573,35
10195,12
10195,14
10195,28
447277,12
447277,10751
447277,14
447277,10749
118,12
118,35
118,10751
118,14
616037,14
616037,28
616037,35
936108,16
936108,10751
936108,14
10191,14
10191,12
10191,16
10191,10751
426063,27
426063,14
527774,16
527774,10751
527774,14
527774,12
527774,28
246655,878
246655,14
246655,28
1401778,53
1401778,28
1401778,12
1401778,18
1401778,14
572802,28
572802,12
572802,14
630,12
630,14
630,10751
284052,14
284052,12
284052,28
102651,14
102651,12
102651,28
102651,10751
102651,10749
420817,12
420817,14
420817,10749
420817,10751
438148,10751
438148,35
438148,12
438148,16
438148,878
438148,14
438148,28
1368337,12
1368337,18
1368337,14
45588,35
45588,18
45588,10751
45588,14
1735,12
1735,28
1735,14
1180831,28
1180831,14
1180831,53
601,878
601,12
601,10751
601,14
10379,35
10379,14
10379,10751
12155,10751
12155,14
12155,12
330457,10751
330457,16
330457,12
330457,35
330457,14
72105,35
72105,14
812,16
812,10751
812,12
812,14
812,10749
82702,14
82702,28
82702,12
82702,16
82702,10751
11970,16
11970,10751
11970,14
11970,12
11970,35
11970,10749
568124,16
568124,35
568124,10751
568124,14
3933,10749
3933,14
3933,16
854,35
854,14
854,80
854,10749
561,14
561,28
561,27
11688,12
11688,16
11688,35
11688,10751
11688,14
566525,28
566525,12
566525,14
9470,28
9470,35
9470,80
9470,14
460465,28
460465,14
460465,12
18239,12
18239,14
18239,18
18239,10749
10192,35
10192,12
10192,14
10192,16
10192,10751
321612,10751
321612,14
321612,10749
105825,27
105825,18
105825,14
787699,35
787699,10751
787699,14
141,14
141,18
141,9648
293167,28
293167,12
293167,14
508883,16
508883,14
508883,18
804370,16
804370,12
804370,14
804370,10751
804370,878
585083,16
585083,35
585083,10751
585083,12
585083,14
1585,18
1585,10751
1585,14
809,16
809,10751
809,35
809,14
809,10749
10144,16
10144,10751
10144,14
845781,28
845781,35
845781,14
1083637,28
1083637,18
1083637,14
35552,14
35552,12
35552,28
35552,9648
282035,14
282035,53
282035,28
282035,12
282035,27
10830,35
10830,10751
10830,14
269509,16
269509,35
269509,10751
269509,14
639720,35
639720,14
639720,10751
10501,10751
10501,12
10501,16
10501,35
10501,14
166426,12
166426,28
166426,14
13494,12
13494,28
13494,14
13494,18
24021,12
24021,14
24021,18
24021,10749
408,14
408,16
408,10751
620,35
620,14
2493,12
2493,10751
2493,14
2493,35
2493,10749
430162,10751
430162,16
430162,35
430162,14
259316,14
259316,12
268,14
268,28
268,80
251,14
251,10749
251,53
10882,14
10882,16
10882,10749
10882,10751
1500099,16
1500099,10751
1500099,18
1500099,14
18491,16
18491,878
18491,18
18491,14
1489187,35
1489187,10749
1489187,14
137106,16
137106,10751
137106,12
137106,35
137106,14
81188,16
81188,10751
81188,14
81188,28
81188,12
81005,14
81005,28
81005,12
81005,18
324544,28
324544,14
324544,37
1144107,16
1144107,14
1144107,28
1417,14
1417,18
1417,10752
12092,16
12092,10751
12092,14
12092,12
635302,16
635302,28
635302,14
879,12
879,14
879,35
879,10751
2270,12
2270,14
2270,10749
2270,10751
8009,12
8009,28
8009,14
1125257,35
1125257,14
1125257,10751
241259,12
241259,10751
241259,14
512200,12
512200,35
512200,14
10020,10749
10020,10751
10020,16
10020,14
587,12
587,14
587,18
763215,14
763215,28
763215,12
23544,16
23544,10751
23544,14
23544,12
493529,12
493529,14
493529,35
159824,16
159824,35
159824,10751
159824,14
4011,14
4011,35
410119,18
410119,14
410119,10749
297761,28
297761,12
297761,14
639933,28
639933,12
639933,14
283366,14
283366,12
283366,18
283366,10751
501170,27
501170,14
76492,16
76492,35
76492,10751
76492,14
877703,28
877703,14
877703,10770
628,27
628,18
628,14
791373,28
791373,12
791373,14
1427,80
1427,14
1427,18
594767,35
594767,28
594767,14
68735,28
68735,12
68735,14
60898,14
60898,18
60898,27
278927,10751
278927,12
278927,14
9016,878
9016,12
9016,16
9016,10751
9016,14
122906,18
122906,10749
122906,14
76757,878
76757,14
76757,28
1593,14
1593,10751
1593,35
447404,28
447404,12
447404,14
4922,18
4922,14
4922,10749
338953,14
338953,12
1250,53
1250,28
1250,14
11976,12
11976,14
12429,16
12429,14
12429,10751
1098006,12
1098006,14
1098006,9648
287947,28
287947,35
287947,14
590223,12
590223,35
590223,14
590223,878
274854,28
274854,12
274854,14
420809,10751
420809,14
420809,12
568160,16
568160,18
568160,14
568160,10749
38321,28
38321,14
38321,27
10895,16
10895,10751
10895,14
585511,16
585511,12
585511,35
585511,14
585511,10751
57158,14
57158,12
57158,28
311324,28
311324,12
311324,14
10198,16
