movie_id,company_id,company_name,origin_country
20481,3557,Seraphim Films,
20481,10210,Morgan Creek Entertainment,US
421892,521,DreamWorks Animation,US
149509,551,Mandalay Pictures,US
149509,19177,Red Granite Pictures,US
663558,123270,bilibili,CN
663558,69484,Alibaba Pictures Group,CN
663558,67089,Light Chaser Animation Studios,CN
55301,711,Fox 2000 Pictures,US
55301,25,20th Century Fox,US
55301,508,Regency Enterprises,US
55301,444,Dune Entertainment,US
55301,10930,Bagdasarian Productions,US
1671175,295313,Fun Revolution Entertainment Pvt. Ltd.,NP
116745,9118,Samuel Goldwyn Films,US
116745,2932,Red Hour,US
116745,12,New Line Cinema,US
116745,10893,Big Screen Productions,GB
116745,37336,Down Productions,GB
116745,290,Ingenious Media,GB
116745,25,20th Century Fox,US
116745,22213,TSG Entertainment,US
137227,5141,Shin-Ei Animation,JP
137227,12655,Shogakukan-Shueisha Productions,JP
137227,4720,ADK,JP
137227,9300,TV Asahi,JP
137227,9149,Shogakukan,JP
137227,15329,Fujiko Productions,JP
8204,4,Paramount Pictures,US
8204,862,The Kennedy/Marshall Company,US
8204,2348,Nickelodeon Movies,US
428045,318,CTB Film Company,RU
428045,74107,Russian Film Group,RU
428045,130900,Buffalo 8 Productions,US
428045,136871,China International Picture,
428045,90658,Fetisoff Illusion,
428045,136872,GFA Entertainment,
428045,136873,Gap Financing,
428045,136874,Lime Studios,
428045,136875,Sparkle Roll Media,
428045,2270,China Film Group Corporation,CN
428045,76049,Cinema Foundation of Russia,RU
2062,3,Pixar,US
423949,52961,The District,US
423949,37504,Rhea Films,US
423949,106178,51 Entertainment,US
423949,21623,Rip Cord Productions,US
22,2,Walt Disney Pictures,US
22,130,Jerry Bruckheimer Films,US
122906,33,Universal Pictures,US
122906,7295,Relativity Media,US
122906,10163,Working Title Films,GB
841755,2785,Warner Bros. Animation,US
311324,33,Universal Pictures,US
311324,507,Atlas Entertainment,US
311324,48873,Le Vision Pictures,CN
311324,14714,China Film Group Corporation,CN
311324,923,Legendary Pictures,US
311324,86433,Legendary East,CN
606234,10583,Independent,GB
606234,119153,Hero Squared,HU
606234,5056,Head Gear Films,GB
606234,25954,Metrol Technology,GB
606234,136586,Untapped,US
606234,4186,Quickfire Films,GB
606234,9987,Lipsync Productions,GB
606234,12142,XYZ Films,US
161822,9300,TV Asahi,JP
161822,4720,ADK,JP
161822,5261,Shogakukan Production,JP
161822,5141,Shin-Ei Animation,JP
456740,48738,Campbell Grobman Films,US
456740,552,Dark Horse Entertainment,US
456740,1020,Millennium Media,US
456740,120256,Boyana Film Studios,BG
456740,840,Lawrence Gordon Productions,US
456740,214913,Lloyd Levin Productions,US
456740,342,Davis Films,FR
456740,491,Summit Entertainment,US
122917,12,New Line Cinema,US
122917,21,Metro-Goldwyn-Mayer,US
122917,11,WingNut Films,NZ
10280,10355,Spelling Films,US
10280,266480,Richard P. Rubinstein Productions,US
899112,121470,87North Productions,US
899112,33,Universal Pictures,US
899112,4234,Original Pictures,CA
454699,2614,Agir,
454699,8104,Ambient Entertainment,DE
454699,17012,Timeless Films,GB
454699,78851,United Entertainment,JP
454699,91702,Mack Media,
59436,12010,Mediapro,ES
59436,8531,Versátil Cinema,ES
59436,24785,Pontchartrain Productions,FR
59436,1824,Gravier Productions,US
403510,8922,Turner Entertainment Co.,US
403510,2785,Warner Bros. Animation,US
58,2,Walt Disney Pictures,US
58,130,Jerry Bruckheimer Films,US
58,19936,Second Mate Productions,US
18491,3041,GAINAX,JP
18491,3466,movic,JP
18491,21504,Star Child Recording,
18491,3034,TV Tokyo,JP
18491,529,Production I.G,JP
18491,1194,KADOKAWA Shoten,JP
18491,5822,Toei Company,JP
18491,113750,SEGA,JP
22586,4108,Rich Animation Studios,
1003579,2785,Warner Bros. Animation,US
1003579,429,DC,US
1312833,155512,High Rise Studio,CA
1312833,153351,Dread,US
43074,84042,Ghost Corps,US
43074,5,Columbia Pictures,US
43074,79,Village Roadshow Pictures,US
43074,34034,LStar Capital,US
43074,61791,Feigco Entertainment,US
43074,84041,Pascal Pictures,US
43074,2364,The Montecito Picture Company,US
417859,521,DreamWorks Animation,US
315465,6755,Nippon Television Network Corporation,JP
315465,15662,Studio Chizu,JP
315465,882,TOHO,JP
315465,11725,VAP,JP
315465,1778,dentsu,JP
315465,11727,Yomiuri Telecasting Corporation,JP
315465,14789,D.N. Dream Partners,JP
315465,78956,Sapporo Television Broadcasting Company,JP
315465,11723,Miyagi Television Broadcasting,JP
315465,11724,Shizuoka Daiichi Television,JP
315465,11722,Hiroshima Telecasting,JP
315465,11720,Fukuoka Broadcasting System,JP
315465,2073,KADOKAWA,JP
315465,33677,Chukyo TV Broadcasting Company,JP
6217,33,Universal Pictures,US
