id,title,release_date,release_year,release_month,days_until_release,popularity,vote_average,vote_count,genres,original_language,overview
1666893,Candy and the Pizza Ggirl,2026-04-10,2026,4,-1,0.0,0.0,0,Fantasy,hi,Candy and the Pizza Ggirl is A Hindi Movie.
1624648,A Zaragata de Bóris,2026-04-10,2026,4,-1,0.0634,0.0,0,"Komedi, Fantasy",pt,
1553287,Archival: The Hampton Inheritance,2026-04-10,2026,4,-1,0.1032,0.0,0,"Sci-Fi, 9648, Fantasy, Drama",en,"Marigold Finch boards a train headed to the mysterious Chekhol Institute, a secret academy devoted to preserving ""forbidden books deemed too dangerous for society"". This institute is filled with eccentric rich-kid scholars known as Archivists – a group gifted with the creative power and training needed to enter story worlds and live inside them. Marigold knows that her brother Sebastian, who disappeared a few years ago, was accepted to the same archivist program before he went missing. When she discovers that Sebastian has been trapped inside an unfinished mystery novel called The Hampton Inheritance, Marigold ventures inside to save him before it's too late."
1655394,Pig Earth,2026-04-11,2026,4,0,0.0628,0.0,0,"Fantasy, Skräck, 9648",en,"Pig Earth traces a sequence of conditions through which consciousness emerges, organises, and ultimately fractures under its own weight. It follows the slow organisation of mind from instinct into structure, from structure into consciousness, only for this awareness to rupture, turning back upon the organism that hosts it. If evolution tends toward efficiency, then consciousness appears excessive. If it tends toward survival, then consciousness appears compromised. The conscious animal becomes the animal that hesitates, the animal that suffers its own awareness, the animal for whom existence is no longer given but must be continually reckoned with. In this sense, consciousness may be less a culmination than a misstep: not the enlightenment of the organism, but its undoing."
1045454,Daydreaming So Vividly About Our Spanish Holidays,2026-04-11,2026,4,0,0.2257,0.0,0,"Drama, Fantasy",es,"Hungry for sun, light and warmth, a group of teenagers embark on a dream trip to the Balearic Islands."
1665066,The Clock Maker,2026-04-13,2026,4,2,0.0297,0.0,0,"Fantasy, 9648",en,"Upon the glade, the Clock Maker confronts the Time Thief after hunting him for a very long time."
1442075,Seaper Powers: The Rescue,2026-04-13,2026,4,2,0.0723,0.0,0,"Animerat, Fantasy, Äventyr",en,"Emma is back in the Caribbean after being summoned by Marty (merman) and Oliver (octopus). Their friend Steve (starfish), along with all starfish are dying from a deadly disease. Emma must find a cure before it's too late."
1319600,Cagüeira,2026-04-14,2026,4,3,0.0523,0.0,0,"Drama, Fantasy",es,"After committing an act of revenge, Katya experiences the first symptoms of her transformation."
1268919,The Botanist,2026-04-14,2026,4,3,0.7708,0.0,0,"Drama, Fantasy",zh,"In a remote village in Xinjiang, a young Kazakh boy named Arsin, who finds solace in the company of plants. He soon meets Meiyu, a spirited Han girl whose unpredictable nature reminds him of a rare, otherworldly plant. As their friendship blossoms, it deepens into a delicate, dreamlike allegory that blurs the lines between reality and the enchanting world of botany."
1184201,Hansel and Gretel,2026-04-14,2026,4,3,0.2336,0.0,0,"Komedi, 10402, Fantasy",en,A comedic music take on the classic Grimm’s fairytale.
1494140,Petrushka,2026-04-16,2026,4,5,0.8657,0.0,0,"Komedi, Fantasy, Familj",ru,"Petya is almost 40 years old, he works as a chef in a restaurant and by his age he had achieved little in life. Petya has a wife and two children, but he is not respected by them. One day, he goes to his parents cottage, where he finds a box of old toys. Among them, he finds his favorite toy, Petrushka, because his name is the same as his own. Petya puts Petrushka on his arm, and a miracle happens - the toy comes to life. Now Petya has a difficult struggle with his alter ego, which will make him a real man."
1218374,Сказочные выходные,2026-04-16,2026,4,5,0.826,0.0,0,"Familj, Komedi, Fantasy, Äventyr",ru,An ordinary Russian family goes to a digital detox hotel in the Murom region on the day when hordes of fabulous monsters suddenly begin to materialize in the real world. The only weapon against them is a mobile application.
1646379,Maryja. Matka papieża,2026-04-17,2026,4,6,0.0705,0.0,0,"99, 36, Fantasy",pl,
1610480,To and From,2026-04-17,2026,4,6,0.2013,0.0,0,"Familj, Fantasy, Äventyr, Komedi",en,"When an eight year old girl discovers magical stamps that make her every written wish come true, she goes on an adventure to convince a grumpy post office receptionist that Christmas magic is real."
1374094,Die Seelenwandler - Das geheime Schicksal,2026-04-17,2026,4,6,0.1761,0.0,0,"Fantasy, Drama",de,
1666851,Sueños de Ceniza,2026-04-18,2026,4,7,0.0,0.0,0,"Drama, Skräck, Fantasy",es,
1662328,Neve,2026-04-19,2026,4,8,0.0598,0.0,0,"Fantasy, Äventyr, Animerat",it,
1602369,Guided Tour,2026-04-19,2026,4,8,0.0364,0.0,0,"99, Fantasy, 9648, Drama",es,"Zuania, an island in the Puerto Rico archipelago and former US military test site, has become a popular Caribbean tourist destination. Beatriz guides them through streets populated by wild horses and into a prohibited irradiated zone. Alba Jaramillo composes a captivating speculative essay to evoke a decolonisation that never happened."
1664292,Min Vän Döden,2026-04-22,2026,4,11,0.4171,0.0,0,"Drama, Fantasy, 53, 10749",sv,
1640271,Asteria,2026-04-22,2026,4,11,0.1316,0.0,0,"53, Fantasy, Drama",en,"Jeremy and Tom Fidgerald are two conspiracy-minded cousins ​​and beekeepers who believe the company they work for is a front for aliens who are exploiting Earth's resources. Jeremy and his cousin take action on climate change, kidnapping the company's CEO to force her to admit she's an alien and establish contact with their mothership. The short film addresses the exploitation of resources by large corporations and encourages people to take climate action, even though it's not always possible."
1638934,Turisti,2026-04-22,2026,4,11,0.3481,0.0,0,"Äventyr, Animerat, Komedi, Fantasy",xx,"A routine work trip for married couple Hana and Kornel suddenly turns into an adventurous struggle for survival. In a remote forest, far from civilization, they are forced to face not only the wilderness, but also the fragile terrain of their long-term, stagnant relationship."
1557243,Kamen Rider Gavv: Final Stage,2026-04-22,2026,4,11,0.6065,0.0,0,"Action, Sci-Fi, Fantasy, Äventyr, Drama",ja,Kamen Rider Gavv: Final Stage is the stage show of Kamen Rider Gavv.
1653854,Up in Heaven,2026-04-23,2026,4,12,0.0143,0.0,0,"Animerat, Fantasy",ca,"At his grandmother’s funeral, a four-year-old boy is told the dead become angels in heaven. Hoping to retrieve her, he becomes a pilot and searches in a small plane. Finding her on a cloud, he ties her to bring her home, but she refuses and a guardian angel rescues her."
1515314,Adventures of the Yellow Suitcase,2026-04-23,2026,4,12,0.257,0.0,0,Fantasy,ru,"The contents of the Wonderful Doctor’s yellow suitcase cure not only colds and the flu, but also sadness, loneliness, cowardice, and timidity. Petya is a modern, reclusive boy who refuses to go outside; he is afraid of society and other children. His parents decide to turn to the Wonderful Doctor, but his magic suitcase is stolen. From that moment on, a series of adventures begins."
1651614,Shower Thoughts,2026-04-24,2026,4,13,0.0411,0.0,0,"Komedi, Fantasy",en,"A man takes a shower and is surprised to find out that all of his “shower thoughts,” normal and strange, have become a reality."
1652480,Der Nebel macht sie wütend,2026-04-26,2026,4,15,0.1045,0.0,0,"Skräck, Fantasy",de,
1605125,Mythos,2026-04-27,2026,4,16,0.7485,0.0,0,"Äventyr, Fantasy, 10749",en,"An Anthology about Greek Mythology from the point of view of a college student who's trying to save his grade. Going through stories such as Pandora's Box, Nymph, Narcissus, Orpheus and Eurydice, and finally Theseus. Each one reflecting how Mythology might not be history, but examples of who we are as people."
1418531,A Story About Fire,2026-04-28,2026,4,17,1.2795,0.0,0,"Animerat, Familj, Äventyr, Fantasy",zh,"The legend of Ran Bi Wa talks about a monkey who was raised by humans. When he sets off to the Holy Mountain to steal fire for humankind, a journey begins from which he will return transformed into a man."
1660992,Meet Saybika,2026-04-30,2026,4,19,0.1233,0.0,0,"Fantasy, Drama, Sci-Fi",ko,"Ye, who had always had the same dreams, begins having diverse dreams after accidentally discovering a mysterious dictionary. Realizing that she was receiving signals from someone every time she opened the dictionary, Ye discovers that her dreams were actually signals from Rainy."
